scorer,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000
bodyparts,blue,blue,blue,light,light,light,green,green,green,yellow,yellow,yellow,pink,pink,pink,red,red,red,blue,blue,blue,light,light,light,green,green,green,yellow,yellow,yellow,pink,pink,pink,red,red,red,blue,blue,blue,light,light,light,green,green,green,yellow,yellow,yellow,pink,pink,pink,red,red,red
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
9,283.6001892,170.8273926,0.994977593,183.6112366,295.2186584,0.999587655,126.8720169,259.4642944,0.995405436,355.9190674,181.3420563,0.999782979,88.45123291,381.2947083,0.996975482,144.1679688,131.9006042,0.9992975,144.3310242,279.8422852,0.999303639,161.2724152,167.9742737,0.999243617,280.3293457,107.2339325,0.99222362,416.2934875,143.132309,0.997440577,105.1317596,292.6682434,0.998283684,403.148407,257.4615784,0.999534011,54.49305725,205.422821,0.999731183,225.9151001,271.4493713,0.999675274,154.2700043,70.25063324,0.998988926,243.8531342,118.8222504,0.999822438,211.2808685,184.3121643,0.998955607,72.19602966,318.1126099,0.998005271
10,283.3147583,169.1930695,0.996890783,183.9922791,295.8025208,0.999047518,127.1313934,266.7749329,0.992129266,356.8800049,181.4730377,0.999760747,88.5146637,380.4015198,0.997429729,144.3440552,130.3113708,0.999367118,141.8026428,279.5748291,0.997261226,161.41922,166.5790558,0.999621809,278.1746521,108.2519531,0.991913199,414.9716492,140.9593964,0.997762382,105.1912613,293.0812378,0.998500288,403.3214111,256.6889648,0.999522626,54.75191498,206.0711365,0.999704063,226.5264282,271.4837341,0.999729514,155.1710358,69.56092834,0.998727024,245.8921356,118.7540283,0.999729633,211.4041138,181.3977051,0.999424875,72.40143585,317.2891235,0.997678041
11,290.0173035,169.735611,0.998994231,182.9288483,296.2765198,0.998652697,133.0975952,266.584259,0.996426702,355.9479675,181.8967285,0.999770343,88.63596344,380.5682068,0.997165442,144.674057,129.6093903,0.999384165,141.34552,279.6435242,0.994713306,161.0654297,165.925766,0.999673605,280.552124,101.953537,0.993305445,416.4261169,141.9636688,0.998030007,105.2362366,292.2912598,0.9979918,404.0957031,252.7970123,0.999457598,55.27806091,204.8916931,0.999472737,226.2148285,271.7522278,0.999707103,154.715332,69.56381226,0.999082506,246.6555939,117.4448318,0.999746919,209.6517487,181.0494995,0.999372423,71.46251678,316.6611328,0.996582985
12,289.5537415,168.669632,0.999242127,184.0667572,298.4342041,0.996418238,132.8905945,267.0235596,0.997434974,356.4049988,181.879837,0.999789178,88.08405304,380.1096802,0.998449922,143.8389435,129.5807343,0.999245286,136.8766327,281.1055908,0.991343021,161.6491394,165.7060089,0.999765635,281.2424316,100.6666183,0.995987654,415.7085266,141.053009,0.997941315,103.1840897,290.6008606,0.998106539,406.8881226,254.1529694,0.998855233,55.16030502,205.8334656,0.999682307,226.9638824,272.4661865,0.999799132,155.1564484,70.3392334,0.998333693,247.9434967,116.8758926,0.99963361,209.9026337,180.6836548,0.999227285,71.144104,314.6167603,0.996499002
13,289.1694641,168.1870575,0.999491096,188.0060883,297.661499,0.996829629,131.0630341,268.8874512,0.998832226,357.4766846,183.047348,0.999606252,87.69631958,379.7408142,0.998180389,143.9191284,130.2280273,0.999198854,140.0606384,278.9806824,0.994075358,162.4125061,164.7109985,0.999788046,280.9819641,99.33464813,0.996835709,417.0314331,139.3477783,0.998822331,102.7535553,290.7456665,0.997714102,406.9482117,253.1924744,0.999116123,55.14221191,205.6166382,0.999707699,227.9925537,273.3590393,0.9998703,155.1767426,70.02069855,0.999016047,249.009903,116.3822174,0.999596119,209.5869904,182.1986389,0.9992764,71.67021179,313.0793762,0.995673537
14,289.9994202,167.8363037,0.999564648,188.7615662,296.3783875,0.997836232,135.4211121,269.9342041,0.998748183,360.665741,184.7236633,0.999032259,88.21619415,380.0469666,0.997971535,144.6194305,130.1835938,0.999369025,136.6400146,279.069458,0.99595511,162.6819763,165.154007,0.999750376,281.3217163,97.08105469,0.99738127,417.4604797,141.5492859,0.998678803,103.3635941,290.5346985,0.99777627,406.5794983,249.8925323,0.99888432,54.95532227,205.306015,0.999701023,227.1923828,273.7080688,0.999882579,155.2229462,70.15187836,0.998447776,250.1309509,116.462204,0.999459028,209.8338318,180.9256287,0.999408424,72.7286911,312.7445984,0.994332433
15,288.9393005,168.656662,0.999433696,191.2543793,298.6896667,0.998824596,135.2902679,271.7914734,0.999145627,359.3701782,184.7063599,0.999270916,88.17415619,379.6206055,0.997935295,143.738327,129.7350006,0.999082923,135.5598297,278.7117004,0.997774184,162.8219757,164.640213,0.999792457,281.1896667,94.19487762,0.999059618,417.5500488,140.1686859,0.998458087,103.2881546,290.0791016,0.996051073,403.8742371,250.3961182,0.998319149,55.16161728,204.2956238,0.999360085,228.0329895,275.7362061,0.999905884,154.8979187,70.9708786,0.997794747,249.4407196,116.2835846,0.999652386,209.9582977,181.2778168,0.999448359,71.62044525,313.8542786,0.995148361
16,287.551178,167.2228546,0.999196351,192.5457611,299.1887817,0.998834193,134.4807739,274.0811462,0.997896671,361.797699,185.218338,0.998995304,87.89984894,377.1187134,0.998644471,139.9247131,130.501297,0.998521209,135.3186951,278.8088684,0.994997859,162.4689636,164.9150543,0.99976474,281.4138794,92.16838074,0.99825263,417.0769653,139.9153748,0.998537481,102.9138031,290.8511047,0.997256756,405.007019,249.2673492,0.999064684,55.70133209,202.1928558,0.9992522,227.5528564,275.9232483,0.999901652,154.1457062,71.18465424,0.997876227,252.0423889,120.6052551,0.99926585,210.5258026,183.309021,0.999342442,72.74391174,316.8511047,0.995363235
17,285.8153076,166.0783386,0.998601496,193.4353027,298.5052185,0.999213099,135.253418,272.0922852,0.998969078,361.9214478,185.1091003,0.999062598,88.26712036,377.1791382,0.998201847,139.5799408,129.9869232,0.998145342,134.1977386,278.2753601,0.995837629,162.4720917,164.3419952,0.999791741,279.5038757,91.75589752,0.989332259,416.0127869,140.0640259,0.998320699,102.4694366,289.1799622,0.99714613,404.5595398,248.8094482,0.998957098,55.52514267,202.588623,0.99918735,228.2268524,274.2194214,0.999879062,154.1713562,71.66356659,0.99685216,250.9173737,121.4902802,0.998955011,211.0729675,181.7194824,0.999416709,73.4670639,316.6915894,0.99584949
18,285.1271667,166.0395966,0.998820126,193.316452,298.1855469,0.99922955,135.8314209,273.9289856,0.998532772,362.6424561,185.1416931,0.998742759,86.31697845,376.6922302,0.998489797,135.9248657,128.8557739,0.998376131,134.2192383,277.3027649,0.996353269,161.1518555,162.698761,0.999720097,278.8595886,90.70796967,0.989063025,416.7857056,137.8842621,0.998265624,103.0397873,289.2529297,0.997366071,404.8077087,249.3594208,0.999180853,55.35454178,202.429718,0.999233127,227.3266602,273.3207703,0.99985218,153.7491913,71.75745392,0.997356653,248.6344147,124.7619934,0.998075485,210.5223541,183.8388519,0.999257743,73.39224243,315.5478821,0.995390654
